"id","name_CN","name_EN","level","function_name","description","example","repairPlan"
"34","邮件命令注入：POP3","Mail Command Injection: POP3","高危",,"邮件命令注入发生在应用程序将用户输入直接嵌入到POP3命令中，攻击者可以通过构造恶意输入来执行任意POP3命令。","import java.io.*;
import java.net.Socket;

public class POP3CommandInjectionExample {
    public static void main(String[] args) throws IOException {
        String userInput = args[0]; // 用户输入
        Socket socket = new Socket(""pop3.example.com"", 110);
        BufferedReader in = new BufferedReader(new InputStreamReader(socket.getInputStream()));
        BufferedWriter out = new BufferedWriter(new OutputStreamWriter(socket.getOutputStream()));

        out.write(""USER "" + userInput + ""\r\n""); // 直接拼接用户输入
        out.flush();
        System.out.println(in.readLine());
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用安全的邮件库：如JavaMail，避免手动构造POP3命令。"
"35","邮件命令注入：SMTP","Mail Command Injection: SMTP","高危",,"邮件命令注入发生在应用程序将用户输入直接嵌入到SMTP命令中，攻击者可以通过构造恶意输入来执行任意SMTP命令。","import java.io.*;
import java.net.Socket;

public class SMTPCommandInjectionExample {
    public static void main(String[] args) throws IOException {
        String userInput = args[0]; // 用户输入
        Socket socket = new Socket(""smtp.example.com"", 25);
        BufferedReader in = new BufferedReader(new InputStreamReader(socket.getInputStream()));
        BufferedWriter out = new BufferedWriter(new OutputStreamWriter(socket.getOutputStream()));

        out.write(""MAIL FROM:<"" + userInput + "">\r\n""); // 直接拼接用户输入
        out.flush();
        System.out.println(in.readLine());
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用安全的邮件库：如JavaMail，避免手动构造SMTP命令。"
"36","邮件命令注入：IMAP","Mail Command Injection: IMAP","高危",,"邮件命令注入发生在应用程序将用户输入直接嵌入到IMAP命令中，攻击者可以通过构造恶意输入来执行任意IMAP命令。","import java.io.*;
import java.net.Socket;

public class IMAPCommandInjectionExample {
    public static void main(String[] args) throws IOException {
        String userInput = args[0]; // 用户输入
        Socket socket = new Socket(""imap.example.com"", 143);
        BufferedReader in = new BufferedReader(new InputStreamReader(socket.getInputStream()));
        BufferedWriter out = new BufferedWriter(new OutputStreamWriter(socket.getOutputStream()));

        out.write(""LOGIN "" + userInput + ""\r\n""); // 直接拼接用户输入
        out.flush();
        System.out.println(in.readLine());
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用安全的邮件库：如JavaMail，避免手动构造IMAP命令。"
"37","设置操纵","Setting Manipulation","高危","detect_Setting_Manipulation","设置操纵发生在应用程序将用户输入直接用于修改系统或应用程序的配置时，攻击者可以通过构造恶意输入来篡改配置，从而导致应用程序行为异常或安全漏洞。","import java.util.Properties;

public class SettingManipulationExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        Properties props = new Properties();
        props.setProperty(""security.level"", userInput); // 直接使用用户输入设置配置
        System.out.println(""Security level set to: "" + props.getProperty(""security.level""));
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用白名单机制：仅允许设置特定的安全值。"
"38","文件权限操纵","File Permission Manipulation","高危",,"文件权限操纵发生在应用程序将用户输入直接用于设置文件权限时，攻击者可以通过构造恶意输入来篡改文件权限，从而导致未授权访问或数据泄露。","import java.io.File;
import java.io.IOException;

public class FilePermissionManipulationExample {
    public static void main(String[] args) throws IOException {
        String userInput = args[0]; // 用户输入
        File file = new File(""example.txt"");
        // 直接使用用户输入设置文件权限
        file.setReadable(Boolean.parseBoolean(userInput));
        System.out.println(""File readable: "" + file.canRead());
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用固定的安全权限：避免动态设置文件权限。"
"39","跨站脚本：反射型","Cross-Site Scripting: Reflected","高危","XSS_reflect","反射型跨站脚本（Reflected XSS）发生在应用程序将用户输入直接嵌入到HTML响应中，而没有进行适当的转义或验证。攻击者可以通过构造恶意输入来注入JavaScript代码，从而在受害者的浏览器中执行。","import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
import java.io.IOException;

public class ReflectedXSSExample extends HttpServlet {
    protected void doGet(HttpServletRequest req, HttpServletResponse resp) throws IOException {
        String userInput = req.getParameter(""input""); // 用户输入
        resp.getWriter().write(""<html><body>"" + userInput + ""</body></html>""); // 直接嵌入用户输入
    }
}","1.输出转义：对用户输入进行HTML转义，防止注入恶意代码。
2.使用安全的框架：如Spring MVC，自动处理XSS防护。"
"40","公式注入","Formula Injection","高危","detect_Formula_Injection","公式注入发生在应用程序将用户输入直接嵌入到电子表格公式中，而没有进行适当的验证或转义。攻击者可以通过构造恶意输入来执行任意公式，从而导致数据篡改或信息泄露。","import org.apache.poi.ss.usermodel.*;
import org.apache.poi.xssf.usermodel.XSSFWorkbook;

import java.io.FileOutputStream;
import java.io.IOException;

public class FormulaInjectionExample {
    public static void main(String[] args) throws IOException {
        String userInput = args[0]; // 用户输入
        Workbook workbook = new XSSFWorkbook();
        Sheet sheet = workbook.createSheet(""Sheet1"");
        Row row = sheet.createRow(0);
        Cell cell = row.createCell(0);
        cell.setCellFormula(userInput); // 直接使用用户输入设置公式
        try (FileOutputStream fos = new FileOutputStream(""workbook.xlsx"")) {
            workbook.write(fos);
        }
    }
}","1.输入验证：对用户输入进行严格的验证，确保其不包含公式关键字。
2.使用安全的库：如Apache POI的安全模式，避免直接解析用户输入。"
"41","访问控制：LDAP","Access Control: LDAP","中危",,"LDAP访问控制漏洞发生在应用程序未正确验证用户权限时，攻击者可以通过构造恶意输入来绕过访问控制，从而访问或篡改敏感数据。","import javax.naming.Context;
import javax.naming.NamingException;
import javax.naming.directory.DirContext;
import javax.naming.directory.InitialDirContext;
import java.util.Hashtable;

public class LDAPAccessControlExample {
    public static void main(String[] args) throws NamingException {
        String userInput = args[0]; // 用户输入
        Hashtable<String, String> env = new Hashtable<>();
        env.put(Context.INITIAL_CONTEXT_FACTORY, ""com.sun.jndi.ldap.LdapCtxFactory"");
        env.put(Context.PROVIDER_URL, ""ldap://localhost:389"");
        env.put(Context.SECURITY_AUTHENTICATION, ""simple"");
        env.put(Context.SECURITY_PRINCIPAL, ""cn="" + userInput + "",dc=example,dc=com""); // 直接使用用户输入
        env.put(Context.SECURITY_CREDENTIALS, ""password"");

        DirContext ctx = new InitialDirContext(env);
        System.out.println(""Connected to LDAP server."");
    }
}","1.输入验证：对用户输入进行严格的验证，确保其符合预期格式。
2.使用角色-based访问控制：确保用户只能访问其权限范围内的数据。"
"42","LDAP注入","LDAP Injection","高危","detect_LDAP_Injection","LDAP注入发生在应用程序将用户输入直接嵌入到LDAP查询中，而没有进行适当的转义或验证。攻击者可以通过构造恶意输入来篡改LDAP查询逻辑，从而导致未授权访问或数据泄露。","import javax.naming.Context;
import javax.naming.NamingException;
import javax.naming.directory.DirContext;
import javax.naming.directory.InitialDirContext;
import javax.naming.directory.SearchControls;
import javax.naming.directory.SearchResult;
import javax.naming.ldap.InitialLdapContext;
import java.util.Hashtable;

public class LDAPInjectionExample {
    public static void main(String[] args) throws NamingException {
        String userInput = args[0]; // 用户输入
        Hashtable<String, String> env = new Hashtable<>();
        env.put(Context.INITIAL_CONTEXT_FACTORY, ""com.sun.jndi.ldap.LdapCtxFactory"");
        env.put(Context.PROVIDER_URL, ""ldap://localhost:389"");
        env.put(Context.SECURITY_AUTHENTICATION, ""simple"");
        env.put(Context.SECURITY_PRINCIPAL, ""cn=admin,dc=example,dc=com"");
        env.put(Context.SECURITY_CREDENTIALS, ""password"");

        DirContext ctx = new InitialDirContext(env);
        String filter = ""(cn="" + userInput + "")""; // 直接拼接用户输入
        SearchControls ctrl = new SearchControls();
        ctrl.setSearchScope(SearchControls.SUBTREE_SCOPE);
        NamingEnumeration<SearchResult> results = ctx.search(""dc=example,dc=com"", filter, ctrl);

        while (results.hasMore()) {
            System.out.println(results.next().getName());
        }
    }
}","1.使用参数化查询：避免直接拼接用户输入。
2.输入验证：对用户输入进行严格的验证，确保其符合预期格式。"
"43","XPath注入","XPath Injection","高危","detect_XPath_Injection","XPath注入发生在应用程序将用户输入直接嵌入到XPath查询中，而没有进行适当的转义或验证。攻击者可以通过构造恶意输入来篡改XPath查询逻辑，从而导致未授权访问或数据泄露。","import javax.xml.parsers.DocumentBuilder;
import javax.xml.parsers.DocumentBuilderFactory;
import javax.xml.xpath.XPath;
import javax.xml.xpath.XPathFactory;
import org.w3c.dom.Document;
import java.io.ByteArrayInputStream;

public class XPathInjectionExample {
    public static void main(String[] args) throws Exception {
        String userInput = args[0]; // 用户输入
        String xml = ""<users><user><name>admin</name><password>secret</password></user></users>"";
        DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
        DocumentBuilder builder = factory.newDocumentBuilder();
        Document doc = builder.parse(new ByteArrayInputStream(xml.getBytes()));

        XPath xpath = XPathFactory.newInstance().newXPath();
        String query = ""//user[name='"" + userInput + ""']/password/text()""; // 直接拼接用户输入
        String result = xpath.evaluate(query, doc);
        System.out.println(""Password: "" + result);
    }
}","1.使用参数化查询：避免直接拼接用户输入。
2.输入验证：对用户输入进行严格的验证，确保其符合预期格式。"
"44","Open重定向","Open Redirect","中危","detect_Open_Redirect","Open重定向发生在应用程序将用户输入直接用于重定向URL时，攻击者可以通过构造恶意输入将用户重定向到恶意网站，从而导致钓鱼攻击或其他安全问题。","import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
import java.io.IOException;

public class OpenRedirectExample extends HttpServlet {
    protected void doGet(HttpServletRequest req, HttpServletResponse resp) throws IOException {
        String userInput = req.getParameter(""url""); // 用户输入
        resp.sendRedirect(userInput); // 直接使用用户输入进行重定向
    }
}","1.白名单验证：仅允许重定向到受信任的URL。
2.使用固定的重定向目标：避免动态生成重定向URL。"
"45","XML外部实体注入","XML External Entity Injection","高危","XML_Exterior_Expansion_Injection","XML外部实体注入（XXE）发生在应用程序解析XML时，未禁用外部实体解析。攻击者可以通过构造恶意XML文件来读取服务器上的任意文件或发起SSRF攻击。","import javax.xml.parsers.DocumentBuilder;
import javax.xml.parsers.DocumentBuilderFactory;
import org.w3c.dom.Document;
import java.io.ByteArrayInputStream;

public class XXEExample {
    public static void main(String[] args) throws Exception {
        String xml = ""<?xml version=\""1.0\""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM \""file:///etc/passwd\"">]><foo>&xxe;</foo>"";
        DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
        DocumentBuilder builder = factory.newDocumentBuilder();
        Document doc = builder.parse(new ByteArrayInputStream(xml.getBytes())); // 解析XML
        System.out.println(doc.getDocumentElement().getTextContent());
    }
}","1.禁用外部实体解析：在解析XML时，禁用外部实体解析。
2.使用安全的XML解析器：如SAX或StAX，并确保其配置正确。"
"46","拒绝服务：格式字符串","Denial of Service: Format String","高危",,"格式字符串漏洞发生在应用程序将用户输入直接用于格式化字符串时，攻击者可以通过构造恶意输入来导致应用程序崩溃或泄露内存信息。","public class FormatStringExample {
    public static void main(String[] args) {
        String userInput = args[0]; // 用户输入
        System.out.printf(userInput); // 直接使用用户输入格式化字符串
    }
}","1.避免直接使用用户输入：使用固定的格式化字符串。
2.输入验证：对用户输入进行严格的验证，确保其符合预期格式。"
"47","服务器端模板注入","Server-Side Template Injection","高危",,"服务器端模板注入发生在攻击者能够将恶意模板代码注入到服务器端模板引擎中，从而导致任意代码执行或敏感信息泄露。常见的模板引擎包括FreeMarker、Thymeleaf、Velocity等。","@GetMapping(""/greet"")
public String greet(@RequestParam String name) {
    String template = ""Hello, "" + name + ""!""; // 用户输入直接拼接到模板中
    return templateEngine.process(template, new Context());
}
如果用户输入为${7*7}，模板引擎可能会解析并执行该表达式，导致输出Hello, 49!。","1.避免直接将用户输入拼接到模板中。
2.使用安全的模板引擎配置，禁用危险功能（如表达式执行）。
3.对用户输入进行严格的验证和转义。"
"48","危险文件包含","Dangerous File Inclusion","高危","detect_dangerous_file","当应用程序动态包含文件时，如果未对用户输入进行验证，攻击者可以通过构造恶意路径来包含任意文件，可能导致敏感信息泄露或代码执行。","@GetMapping(""/load"")
public String loadFile(@RequestParam String file) {
    return new String(Files.readAllBytes(Paths.get(""/var/www/"" + file))); // 用户输入直接拼接到文件路径中
}
如果用户输入为../../etc/passwd，可能导致读取系统敏感文件。","1.避免直接使用用户输入作为文件路径。
2.使用白名单机制限制允许访问的文件。
3.对用户输入进行严格的路径规范化检查。"
"49","动态解析代码：代码操作","Dynamic Code Evaluation: Code Manipulation","高危",,"当应用程序动态解析或执行用户提供的代码时，攻击者可以通过注入恶意代码来执行任意操作。例如，使用ScriptEngine执行JavaScript代码。","ScriptEngine engine = new ScriptEngineManager().getEngineByName(""JavaScript"");
String userCode = request.getParameter(""code""); // 用户输入直接作为代码执行
engine.eval(userCode);
如果用户输入为java.lang.Runtime.getRuntime().exec(""rm -rf /"")，可能导致系统命令执行。","1.避免动态执行用户提供的代码。
2.如果需要动态执行代码，使用沙箱机制限制执行环境。
3.对用户输入进行严格的验证和过滤。"
"50","动态解析代码：XMLDecoder 注入","Dynamic Code Evaluation: XMLDecoder Injection","高危",,"XMLDecoder是Java中用于将XML反序列化为对象的工具。如果反序列化的XML数据来自不可信的来源，攻击者可以构造恶意XML来执行任意代码。","String xml = request.getParameter(""data""); // 用户输入直接作为XML数据
XMLDecoder decoder = new XMLDecoder(new ByteArrayInputStream(xml.getBytes()));
Object obj = decoder.readObject(); // 反序列化可能导致代码执行
如果用户输入为恶意构造的XML数据，可能导致任意代码执行。","1.避免使用XMLDecoder反序列化不可信数据。
2.使用安全的反序列化机制（如JSON）。
3.对输入数据进行严格的验证和过滤。"
"51","动态解析代码：不安全的XStream反序列化","Dynamic Code Evaluation: Unsafe XStream Deserialization","高危",,"XStream是一个用于将XML与Java对象相互转换的库。如果反序列化的数据来自不可信的来源，攻击者可以构造恶意XML来执行任意代码。","String xml = request.getParameter(""data""); // 用户输入直接作为XML数据
XStream xstream = new XStream();
Object obj = xstream.fromXML(xml); // 反序列化可能导致代码执行","1.避免使用XStream反序列化不可信数据。
2.使用XStream的安全配置（如设置安全的类型白名单）。
3.对输入数据进行严格的验证和过滤。"
"52","动态解析代码：JNDI引用注入","Dynamic Code Evaluation: JNDI Reference Injection","高危",,"JNDI（Java Naming and Directory Interface）是Java中用于访问命名和目录服务的API。如果应用程序动态解析用户提供的JNDI名称，攻击者可以通过构造恶意JNDI名称来注入远程对象，从而导致远程代码执行（如Log4Shell漏洞）。","String jndiName = request.getParameter(""name""); // 用户输入直接作为JNDI名称
Context ctx = new InitialContext();
Object obj = ctx.lookup(jndiName); // 可能导致远程代码执行","1.避免直接使用用户输入作为JNDI名称。
2.使用白名单机制限制允许的JNDI名称。
3.禁用JNDI的远程加载功能（如设置com.sun.jndi.ldap.object.trustURLCodebase为false）。
4.升级依赖库（如Log4j）到安全版本。"
"53","密码管理：硬编码的密码","Password Management: Hardcoded Password","高危",,"硬编码密码是指将密码直接写在源代码中。这种做法会导致密码泄露风险，尤其是在代码被公开或泄露时。","public class DatabaseConnection {
    private static final String PASSWORD = ""supersecret123""; // 硬编码密码
    public Connection getConnection() {
        return DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydb"", ""user"", PASSWORD);
    }
}","1.避免在代码中硬编码密码。
2.使用安全的密码管理工具（如Vault、AWS Secrets Manager）。
3.将密码存储在环境变量或配置文件中，并确保配置文件不被公开。
4.对配置文件进行加密处理。"
"54","SQL注入：DynamoDB","NoSQL Injection: DynamoDB","低危",,"DynamoDB是AWS提供的NoSQL数据库。虽然DynamoDB本身不支持SQL查询，但如果应用程序动态构建查询表达式时未对用户输入进行验证，可能导致注入攻击。","String userId = request.getParameter(""userId""); // 用户输入直接用于查询
Map<String, AttributeValue> expressionAttributeValues = new HashMap<>();
expressionAttributeValues.put("":userId"", new AttributeValue().withS(userId));

QueryRequest queryRequest = new QueryRequest()
    .withTableName(""Users"")
    .withKeyConditionExpression(""UserId = :userId"") // 用户输入直接拼接到查询条件中
    .withExpressionAttributeValues(expressionAttributeValues);

QueryResult result = dynamoDBClient.query(queryRequest);","1.避免直接拼接用户输入到查询表达式中。
2.使用参数化查询或表达式属性值（如ExpressionAttributeValues）。
3.对用户输入进行严格的验证和过滤。"
"55","SQL注入：AWS","SECURITY:AWS_QUERY_INJECTION","高危",,"在使用AWS服务（如RDS）时，如果应用程序动态构建SQL查询并直接使用用户输入，可能导致SQL注入漏洞。","String username = request.getParameter(""username""); // 用户输入直接拼接到SQL查询中
String query = ""SELECT * FROM Users WHERE username = '"" + username + ""'"";
Statement stmt = connection.createStatement();
ResultSet rs = stmt.executeQuery(query);","1.使用参数化查询（PreparedStatement）代替字符串拼接。
2.对用户输入进行严格的验证和过滤。
3.使用ORM框架（如Hibernate）来避免手动编写SQL查询。"
"56","SQL注入：JDBC","SECURITY:SQL_INJECTION_SPRING_JDBC","高危",,"在使用JDBC连接数据库时，如果应用程序动态构建SQL查询并直接使用用户输入，可能导致SQL注入漏洞。","String userId = request.getParameter(""userId""); // 用户输入直接拼接到SQL查询中
String query = ""SELECT * FROM Users WHERE userId = "" + userId;
Statement stmt = connection.createStatement();
ResultSet rs = stmt.executeQuery(query);","1.使用参数化查询（PreparedStatement）代替字符串拼接。
2.对用户输入进行严格的验证和过滤。
3.使用ORM框架（如Hibernate）来避免手动编写SQL查询。"
"57","SQL注入：JPA","SECURITY:SQL_INJECTION_JPA","高危",,"JPA（Java Persistence API）是Java中用于对象关系映射（ORM）的标准。如果使用JPA时动态拼接用户输入到查询中，可能导致SQL注入漏洞。","String username = request.getParameter(""username""); // 用户输入直接拼接到查询中
String jpql = ""SELECT u FROM User u WHERE u.username = '"" + username + ""'"";
Query query = entityManager.createQuery(jpql);
List<User> users = query.getResultList();","1.使用参数化查询（setParameter）代替字符串拼接。
2.对用户输入进行严格的验证和过滤。
3.避免使用原生SQL查询（createNativeQuery），除非绝对必要。"
"58","SQL注入：Turbine","SECURITY:SQL_INJECTION_TURBINE","中危",,"Turbine是一个基于Java的Web应用框架。如果使用Turbine时动态拼接用户输入到SQL查询中，可能导致SQL注入漏洞。","String userId = request.getParameter(""userId""); // 用户输入直接拼接到查询中
String sql = ""SELECT * FROM Users WHERE userId = "" + userId;
List<User> users = RunData.getTurbine().getDb().query(sql);","1.使用参数化查询或预编译语句。
2.对用户输入进行严格的验证和过滤。
3.避免直接拼接用户输入到SQL查询中。"
"59","SQL注入：Hibernate","SQL Injection: Hibernate","高危",,"Hibernate是一个流行的ORM框架。如果使用Hibernate时动态拼接用户输入到HQL（Hibernate Query Language）或原生SQL查询中，可能导致SQL注入漏洞。","String username = request.getParameter(""username""); // 用户输入直接拼接到HQL中
String hql = ""FROM User WHERE username = '"" + username + ""'"";
Query<User> query = session.createQuery(hql, User.class);
List<User> users = query.list();","1.使用参数化查询（setParameter）代替字符串拼接。
2.对用户输入进行严格的验证和过滤。
3.避免使用原生SQL查询（createNativeQuery），除非绝对必要。"
"60","SQL注入：iBatis","SQL Injection: iBatis Data Map","高危",,"iBatis（现已更名为MyBatis）是一个持久层框架。如果使用iBatis时动态拼接用户输入到SQL查询中，可能导致SQL注入漏洞。","String userId = request.getParameter(""userId""); // 用户输入直接拼接到查询中
String sql = ""SELECT * FROM Users WHERE userId = "" + userId;
List<User> users = sqlSession.selectList(""getUser"", sql);","1.使用参数化查询（#{}）代替字符串拼接。
2.对用户输入进行严格的验证和过滤。
3.避免直接拼接用户输入到SQL查询中。"
"61","SQL注入：JDO","SQL Injection: JDO","高危",,"JDO（Java Data Objects）是Java中用于持久化的API。如果使用JDO时动态拼接用户输入到查询中，可能导致SQL注入漏洞。","String username = request.getParameter(""username""); // 用户输入直接拼接到查询中
String jdoql = ""SELECT FROM User WHERE username = '"" + username + ""'"";
Query query = persistenceManager.newQuery(jdoql);
List<User> users = (List<User>) query.execute();","1.使用参数化查询（declareParameters）代替字符串拼接。
2.对用户输入进行严格的验证和过滤。
3.避免直接拼接用户输入到查询中。"
"62","SQL注入：MyBatis","SQL Injection: MyBatis Mapper","高危",,"MyBatis 是一个流行的 Java 持久层框架，但如果开发者未正确使用参数化查询，可能会导致 SQL 注入漏洞。攻击者可以通过恶意输入篡改 SQL 查询，从而访问或修改数据库中的数据。","import org.apache.ibatis.annotations.Param;
import org.apache.ibatis.annotations.Select;

public interface UserMapper {
    @Select(""SELECT * FROM users WHERE username = '${username}' AND password = '${password}'"")
    User findUser(@Param(""username"") String username, @Param(""password"") String password);
}","1.使用 MyBatis 的参数化查询（#{}）代替字符串拼接（${}），以防止 SQL 注入。
2.避免直接使用用户输入作为 SQL 查询的一部分。
3.对用户输入进行严格的验证和过滤，确保输入符合预期的格式和类型。
4.使用预编译语句（PreparedStatement）来执行 SQL 查询。"
"63","SQL注入：持久型","SQL Injection: Persistence","高危",,"持久型 SQL 注入（也称为存储型 SQL 注入）发生在攻击者将恶意 SQL 代码注入到应用程序的数据库存储中，通常通过用户输入的表单或 API 请求。当应用程序从数据库中读取并执行这些恶意数据时，可能会导致 SQL 注入攻击。","import java.sql.Connection;
import java.sql.DriverManager;
import java.sql.Statement;

public class PersistentSQLInjection {
    public static void main(String[] args) throws Exception {
        String userInput = ""'; DROP TABLE users; --"";
        Connection conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydb"", ""user"", ""password"");
        Statement stmt = conn.createStatement();
        String query = ""INSERT INTO comments (content) VALUES ('"" + userInput + ""')"";
        stmt.executeUpdate(query);
    }
}","1.使用参数化查询或预编译语句来防止 SQL 注入。
2.对用户输入进行严格的验证和过滤，确保输入数据符合预期的格式和类型。
3.使用 ORM 框架（如 Hibernate）来减少手动编写 SQL 语句的机会。
4.定期进行安全审计和代码审查，确保没有潜在的 SQL 注入漏洞。"
"64","动态解析代码：不安全的 Pickle 反序列化","Dynamic Code Evaluation: Unsafe Pickle Deserialization","高危",,"Pickle 是 Python 中用于序列化和反序列化对象的模块。如果应用程序反序列化了不受信任的数据，攻击者可以通过构造恶意的序列化数据来执行任意代码，导致远程代码执行（RCE）漏洞。在 Java 中，类似的问题可能出现在使用 ObjectInputStream 反序列化不受信任的数据时。","import java.io.FileInputStream;
import java.io.ObjectInputStream;

public class InsecureDeserialization {
    public static void main(String[] args) {
        try (FileInputStream fis = new FileInputStream(""data.obj"");
             ObjectInputStream ois = new ObjectInputStream(fis)) {
            Object obj = ois.readObject(); // 反序列化不受信任的数据
            System.out.println(""Deserialized object: "" + obj);
        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}","1.避免反序列化不受信任的数据源。
2.使用安全的反序列化机制，如 JSON 或 XML 解析器，而不是直接反序列化二进制数据。
3.对反序列化的数据进行严格的验证和过滤。
4.使用白名单机制，限制反序列化的类类型。"
"65","WS-SecurityPolicy缺陷：消息附件上缺少签名","Weak WS-SecurityPolicy: Missing Signature on Message Attachments","中危",,"WS-SecurityPolicy 是用于定义 Web 服务安全策略的标准。如果消息附件没有进行签名，攻击者可能会篡改附件内容，导致数据完整性被破坏或恶意代码被注入。","import org.apache.cxf.frontend.ClientProxy;
import org.apache.cxf.ws.security.wss4j.WSS4JOutInterceptor;
import org.apache.cxf.ws.security.policy.SecurityConstants;

import javax.xml.ws.BindingProvider;
import java.util.HashMap;
import java.util.Map;

public class WSClient {
    public static void main(String[] args) {
        MyService service = new MyService();
        MyPortType port = service.getMyPort();

        // 配置 WS-SecurityPolicy
        BindingProvider bp = (BindingProvider) port;
        Map<String, Object> ctx = bp.getRequestContext();
        ctx.put(SecurityConstants.SIGNATURE_PROPERTIES, ""clientKeystore.properties"");

        // 调用 Web 服务
        port.sendMessage(""Hello, World!"");
    }
}","1.确保所有消息附件都使用 WS-SecurityPolicy 进行签名，以保证数据的完整性和真实性。
2.使用强加密算法对消息附件进行签名和加密。
3.定期更新和审查安全策略，确保其符合最新的安全标准。
4.对 Web 服务进行安全测试，确保没有遗漏的签名或加密步骤。"
"66","隐私侵犯：Android 不安全索引","Privacy Violation: Android Insecure Indexing","中危",,"在 Android 应用中，如果开发者使用不安全的方式存储或索引敏感数据（如用户个人信息），可能会导致隐私泄露。例如，将敏感数据存储在未加密的 SQLite 数据库中，或者通过不安全的 Content Provider 暴露数据。","import android.content.ContentResolver;
import android.database.Cursor;
import android.net.Uri;

public class InsecureContentProvider {
    public void queryUserData(ContentResolver resolver) {
        Uri uri = Uri.parse(""content://com.example.provider/user"");
        Cursor cursor = resolver.query(uri, null, null, null, null);
        if (cursor != null) {
            while (cursor.moveToNext()) {
                String userData = cursor.getString(cursor.getColumnIndex(""data""));
                System.out.println(""User data: "" + userData);
            }
            cursor.close();
        }
    }
}","1.对敏感数据进行加密存储，确保即使数据被访问，也无法直接读取。
2.使用安全的 Content Provider，并确保只暴露必要的数据。
3.对数据库查询进行权限控制，确保只有授权的应用或用户可以访问敏感数据。"
"67","WSE 配置错误：未签名的故障时间戳","WSE Misconfiguration: Unsigned Fault Timestamp","中危",,"在 Web Services Enhancements (WSE) 中，如果故障时间戳（Fault Timestamp）未签名，攻击者可能会篡改时间戳信息，导致服务拒绝或重放攻击。未签名的时间戳无法保证其完整性和真实性。","import org.apache.cxf.ws.security.wss4j.WSS4JOutInterceptor;
import org.apache.cxf.ws.security.policy.SecurityConstants;
import org.apache.cxf.frontend.ClientProxy;

import javax.xml.ws.BindingProvider;
import java.util.HashMap;
import java.util.Map;

public class WSEConfigurationError {
    public static void main(String[] args) {
        MyService service = new MyService();
        MyPortType port = service.getMyPort();

        // 配置 WSE 安全策略，但未签名时间戳
        BindingProvider bp = (BindingProvider) port;
        Map<String, Object> ctx = bp.getRequestContext();
        ctx.put(SecurityConstants.SIGNATURE_PROPERTIES, ""clientKeystore.properties"");

        // 调用 Web 服务
        port.sendMessage(""Hello, World!"");
    }
}","1.确保所有时间戳信息都经过签名，以保证其完整性和真实性。
2.使用强加密算法对时间戳进行签名。
3.定期审查和更新安全策略，确保其符合最新的安全标准。
4.对 Web 服务进行安全测试，确保没有遗漏的签名步骤。"
"68","AWS CloudFormation 配置错误：不正确的 IAM 访问控制策略","AWS CloudFormation Misconfiguration: Improper IAM Access Control Policy","高危",,"在 AWS CloudFormation 中，如果 IAM 访问控制策略配置不正确，可能会导致过度权限或权限不足。攻击者可能利用过度权限访问敏感资源，或由于权限不足导致服务中断。","import software.amazon.awssdk.services.cloudformation.CloudFormationClient;
import software.amazon.awssdk.services.cloudformation.model.CreateStackRequest;
import software.amazon.awssdk.services.cloudformation.model.Parameter;

import java.util.Collections;

public class CloudFormationIAMError {
    public static void main(String[] args) {
        CloudFormationClient client = CloudFormationClient.create();

        // 创建 CloudFormation 堆栈，但 IAM 策略配置不正确
        CreateStackRequest request = CreateStackRequest.builder()
                .stackName(""MyStack"")
                .templateBody(""{ \""Resources\"": { \""MyBucket\"": { \""Type\"": \""AWS::S3::Bucket\"" } } }"")
                .parameters(Collections.singletonList(Parameter.builder()
                        .parameterKey(""BucketName"")
                        .parameterValue(""MyBucket"")
                        .build()))
                .build();

        client.createStack(request);
    }
}","1.遵循最小权限原则，确保 IAM 策略仅授予必要的权限。
2.定期审查和更新 IAM 策略，确保其符合业务需求和安全标准。
3.使用 AWS IAM Access Analyzer 检测和修复策略中的过度权限。
4.对 CloudFormation 模板进行安全审计，确保没有配置错误。"
