漏洞ID,漏洞名称,漏洞等级,漏洞描述,代码示例,修复方案
cwe917,表达式语言语句中使用的特殊元素的不当中和（表达式语言注入）,中危,软件使用来自上游组件的受外部影响的输入在 Java Server 页面 （JSP） 中构造表达式语言 （EL） 语句的全部或部分内容，但它不会中和或错误地中和可能在执行预期 EL 语句之前修改该语句的特殊元素。,,将原来的 StandardEvaluationContext 方法换成 SimpleEvaluationContext 方法。
cwe59,在文件访问前对链接解析不恰当（链接跟随）,低危,软件尝试根据文件名访问文件，但它不会正确阻止该文件名标识解析为非预期资源的链接或快捷方式。,,特权分离：在为软件系统中的实体分配访问权限时，请遵循最小特权原则。拒绝对文件的访问可以防止攻击者将该文件替换为指向敏感文件的链接。确保系统中的良好划分，以提供可信任的保护区。
cwe401,在移除最后引用时对内存的释放不恰当（内存泄露）,低危,"软件在使用后没有充分跟踪和释放分配的内存，这会慢慢消耗剩余的内存。
这通常是由不正确地处理格式数据或意外中断的会话触发的。在某些语言中，开发人员负责跟踪内存分配并释放内存。如果没有更多的指针或引用指向内存，则无法再跟踪和识别内存以进行释放。","如果对 read（） 的调用未返回预期的字节数，则以下 C 函数会泄漏分配的内存块：
char getBlock(int fd) {
char buf = (char*) malloc(BLOCK_SIZE);
if (!buf) {
return NULL;
}
if (read(fd, buf, BLOCK_SIZE) != BLOCK_SIZE) {

return NULL;
}
return buf;
}
","1.选择提供自动内存管理的语言或工具，或使手动内存管理不那么容易出错的语言或工具。例如，Linux 中的 glibc 提供了针对无无效指针的保护。使用 Xcode 定位到 OS X 或 iOS 时，启用自动引用计数 （ARC）。
2.使用抽象库来抽象出有风险的 API。
3.Boehm-Demers-Weiser垃圾收集器或valgrind可用于检测代码中的泄漏。"
cwe362,使用共享资源进行同步不正确的并发执行（争用条件）,低危,"程序包含一个可以与其他代码同时运行的代码序列，并且该代码序列需要对共享资源进行临时的独占访问，但存在一个计时窗口，在该窗口中，共享资源可以被同时运行的另一个代码序列修改。
当预期的同步位于安全关键代码中时，这可能会产生安全隐患，例如记录用户是否经过身份验证或修改不应受外部人员影响的重要状态信息。

争用条件发生在并发环境中，并且实际上是代码序列的属性。根据上下文的不同，代码序列可以采用函数调用，少量指令，一系列程序调用等形式。","以下函数尝试获取锁，以便对共享资源执行操作。
void f(pthread_mutex_t mutex) {
pthread_mutex_lock(mutex);
/ access shared resource */
pthread_mutex_unlock(mutex);
}
但是，代码不会检查 pthread_mutex_lock（） 返回的值是否存在错误。如果pthread_mutex_lock（） 由于任何原因无法获取互斥体，则该函数可能会在程序中引入争用条件并导致未定义的行为。
为了避免数据争用，正确编写的程序必须检查线程同步函数的结果，并通过尝试从中恢复或将其报告给更高级别来适当地处理所有错误。
int f(pthread_mutex_t mutex) {
int result;
result = pthread_mutex_lock(mutex);
if (0 != result)
return result;
/ access shared resource */
return pthread_mutex_unlock(mutex);
}
","1.在支持它的语言中，使用同步基元。仅将这些内容包装在关键代码周围，以最大程度地减少对性能的影响。
2.使用线程安全功能，例如Spring中的数据访问抽象。
3.最大限度地减少共享资源的使用，以便从控制流中消除尽可能多的复杂性，并降低发生意外情况的可能性。
4.使用多线程处理和对共享变量进行操作时，仅使用线程安全函数。
5.对共享变量使用原子操作。警惕看起来无辜的构造，如“x++”。这可能在代码层看起来是原子的，但在指令层实际上是非原子的，因为它涉及读取，然后是计算，然后是写入。
6.对关键变量使用可变类型修饰符，以避免意外的编译器优化或重新排序。"
cwe427,对搜索路径元素未加控制,低危,"产品使用固定或受控的搜索路径来查找资源，但该路径中的一个或多个位置可能处于非预期参与者的控制之下。
尽管任何类型的资源都可能出现此弱点，但当产品使用目录搜索路径查找可执行文件或代码库时，通常会引入此弱点，但该路径包含攻击者可以修改的目录，例如“/tmp”或当前工作目录。
在基于 Windows 的系统中，当使用不包含完全限定路径的 DLL 名称调用 LoadLibrary 或 LoadLibraryEx 函数时，该函数将遵循包含两个可能不受控制的路径元素的搜索顺序：
在某些情况下，攻击可以远程进行，例如在使用 SMB 或 WebDAV 网络共享时。
在一些基于Unix的系统中，可能会创建一个包含空元素的PATH，例如，通过将空变量拼接到PATH中。此空元素可以解释为等效于当前工作目录，该目录可能是不受信任的搜索元素。","以下代码来自一个 Web 应用程序，该应用程序允许用户访问一个界面，通过该界面，他们可以在系统上更新其密码。在此环境中，可以使用 UNIX 系统上常用的网络信息系统 （NIS） 来管理用户密码。执行 NIS 更新时，更新密码的部分过程是在 /var/yp 目录中运行 make 命令。执行 NIS 更新需要额外的权限。
...
System.Runtime.getRuntime（）.exec（“make”）;
...
这里的问题是，程序没有为 make 指定绝对路径，并且在执行对 Runtime.exec（） 的调用之前不会清理其环境。如果攻击者可以修改$PATH变量以指向名为 make 的恶意二进制文件，并导致在其环境中执行程序，则将加载恶意二进制文件，而不是预期的二进制文件。由于应用程序的性质，它以执行系统操作所需的权限运行，这意味着攻击者的make现在将使用这些权限运行，可能使攻击者完全控制系统。","1.将搜索路径硬编码为一组已知安全值（如系统目录），或仅允许管理员在配置文件中指定这些值。不允许外部方修改这些设置。
2.调用其他程序时，请使用完全限定的路径名指定这些程序。虽然这是一种有效的方法，但使用完全限定路径名的代码可能无法移植到不使用相同路径名的其他系统。通过将完全限定的路径定位在源代码中易于修改的集中位置，并让代码引用这些路径，可以提高可移植性。
3.在调用其他程序之前删除或限制所有环境设置。这包括 PATH 环境变量、LD_LIBRARY_PATH、标识代码库位置的其他设置，以及任何特定于应用程序的搜索路径。
4.在使用之前检查搜索路径，并删除任何可能不安全的元素，例如当前工作目录或临时文件目录。由于这是一种黑名单方法，因此可能不是一个完整的解决方案。
5.使用需要显式路径的其他函数。使用任何其他需要显式路径的现成函数是避免此问题的安全方法。例如，C 中的 system（） 不需要完整路径，因为 shell 可以使用 PATH 环境变量查找程序，而 execl（） 和 execv（） 需要完整径。"
cwe319,敏感信息的明文传输,中危,"该软件在通信通道中以明文形式传输敏感或安全关键数据，未经授权的行为者可以嗅探该通信通道。
在数据传输过程中，攻击者可以“嗅探”许多通信通道。例如，有权访问网络接口的任何攻击者通常都可以嗅探网络流量。这大大降低了攻击者利用的难度。","下面的代码尝试建立与站点的连接以传达敏感信息。
try {
URL u = new URL（“http://www.secret.example.org/”）;
HttpURLConnection hu = （HttpURLConnection） u.openConnection（）;
hu.setRequestMethod（“PUT”）;
hu.connect（）;
OutputStream os = hu.getOutputStream（）;
hu.disconnect（）;
}
catch （IOException e） {

//...
}
虽然成功建立了连接，但连接是未加密的，并且发送到服务器或从服务器接收的所有敏感数据都可能被意外的执行组件读取。","1.在传输之前，使用可靠的加密方案对数据进行加密。
2.将 Web 应用程序与 SSL 结合使用时，请对从登录到注销的整个会话使用 SSL，而不仅仅是对初始登录页面使用 SSL。
3.使用需要手动（人工）分析的工具和技术，例如渗透测试、威胁建模和允许测试人员记录和修改活动会话的交互式工具。这些可能比严格的自动化技术更有效。与设计和业务规则相关的弱点尤其如此。
4.将服务器配置为使用加密通道进行通信，其中可能包括 SSL 或其他安全协议。"
cwe843,使用不兼容类型访问资源（类型混淆）,低危,"程序使用一种类型分配或初始化资源（如指针、对象或变量），但稍后使用与原始类型不兼容的类型访问该资源。当程序使用不兼容的类型访问资源时，这可能会触发逻辑错误，因为资源没有预期的属性。在没有内存安全的语言（如 C 和 C++）中，类型混淆可能导致越界内存访问。
虽然在C中解析具有许多不同嵌入对象类型的数据时，此弱点通常与联合有关，但它可以出现在任何可以通过多种方式解释相同变量或内存位置的应用程序中。
这个弱点并不是C和C++独有的。例如，PHP 应用程序中的错误可以通过在预期标量时提供数组参数来触发，反之亦然。像Perl这样的语言，当一种类型的变量被访问时，它执行自动转换，就好像它是另一种类型一样，也可能包含这些问题。
","以下 Perl 代码旨在通过执行对 $UserPrivilegeArray 引用的访问来查找用户 ID 在 0 到 3 之间的特权。预计只有 userID 3 是管理员（因为这列在数组的第三个元素中）。
my $UserPrivilegeArray = [""user"", ""user"", ""admin"", ""user""];

my $userID = get_current_user_ID();

if ($UserPrivilegeArray eq ""user"") {
print ""Regular user!\n"";
}
else {
print ""Admin!\n"";
}
print ""\$UserPrivilegeArray = $UserPrivilegeArray\n"";
在这种情况下，程序员打算使用“$UserPrivilegeArray->{$userID}”来访问数组中的正确位置。但是由于省略了下标，因此将“user”字符串与$UserPrivilegeArray引用的标量表示形式进行了比较，后者可能是“ARRAY（0x229e8）”或类似形式。
由于逻辑也“失败打开”（CWE-636），因此此错误的结果是为所有用户分配了管理员权限。
虽然这是一个强制示例，但它演示了类型混淆如何产生安全后果，即使在内存安全语言中也是如此。",由于许多程序直接或间接地依赖于松散类型，潜在的“类型混淆”行为可能是有意的，可能需要更多的手动分析。
cwe601,URL重定向漏洞,中危,"也称URL跳转、URL重定向漏洞，由于?标?站未对程序跳转的URL地址及参数做合法性判断，导致应?程序直接跳转到参数中指定的的URL地址。攻击者可通过将跳转地址修改为指向恶意站点，即可发起?络钓鱼、诈骗甚?窃取?户凭证等。
","下面的代码从查询字符串中获取 URL，然后将用户重定向到该 URL。
$redirect_url = $_GET['url'];
header(""Location: "" . $redirect_url);
上述代码的问题在于，攻击者可以通过将用户重定向到恶意站点，将此页面用作网络钓鱼诈骗的一部分。例如，假设上面的代码位于文件示例中.php。攻击者可以向用户提供以下链接：
http://example.com/example.php?url=http://malicious.example.com
用户看到指向原始受信任站点（example.com）的链接，并且没有意识到可能发生的重定向。","1. 严格控制将要跳转的域名，如果某个业务事先已经确定将要跳转的?站，最稳妥的?式是将其直接编码在源代码中，通过URL中传?
的参数来映射跳转?址。
2. 严格验证跳转URL参数的有效性、合法性。
3. 校验传?的URL参数是否为可信域名。
"
cwe863,授权机制不正确,中危,"当参与者尝试访问资源或执行操作时，软件会执行授权检查，但未正确执行检查。这使得攻击者能够绕过预期的访问限制。假设用户具有给定标识，则授权是根据用户的权限以及适用于该资源的任何权限或其他访问控制规范来确定该用户是否可以访问给定资源的过程。
当访问控制检查应用不正确时，用户能够访问数据或执行不应允许他们执行的操作。这可能会导致各种各样的问题，包括信息泄露、拒绝服务和任意代码执行。","以下代码可能用于医疗记录应用程序。它向已经过身份验证的用户显示记录，使用存储在 Cookie 中的值确认用户的授权。（PHP）
$role = $_COOKIES['role'];
if (!$role) {
$role = getRole('user');
if ($role) {
// save the cookie to send out in future responses
setcookie(""role"", $role, time()+60602);
}
else{
ShowLoginScreen();
die(""\n"");
}
}
if ($role == 'Reader') {
DisplayMedicalHistory($_POST['patient_ID']);
}
else{
die(""You are not Authorized to view this record\n"");
}
程序员期望只有在 getRole（） 成功时才设置 cookie。程序员甚至努力为 cookie 指定 2 小时的过期时间。但是，攻击者可以很容易地将“角色”Cookie设置为值“读者”。因此，$role变量是“Reader”，并且永远不会调用getRole（）。攻击者绕过了授权系统。","1.将软件划分为匿名、普通、特权和管理区域。通过仔细地将角色与数据和功能对应起来减少攻击面。使用基于角色的访问控制 （RBAC）在适当的边界强制实施角色。此方法可能无法防止水平授权，即它不会保护用户免受具有相同角色的其他人的攻击。
2.确保执行与业务逻辑相关的访问控制检查。这些检查可能与应用于更通用的资源（如文件、连接、进程、内存和数据库记录）的访问控制检查不同。例如，数据库可能将医疗记录的访问限制为特定的数据库用户，但每个记录可能仅供患者和患者的医生访问 。
3.使用不允许发生此弱点的经过审查的库或框架，或者提供使此弱点更容易避免的构造。例如，考虑使用授权框架，如 JAAS 授权框架和 OWASP ESAPI 访问控制功能
4.对于 Web 应用程序，请确保在每个页面上的服务器端正确实施访问控制机制。用户不应通过简单地请求直接访问该页面来访问任何未经授权的功能或信息。执行此操作的一种方法是确保不会缓存包含敏感信息的所有页面，并且所有此类页面都限制对附带与具有访问该页面所需权限的用户关联的活动且经过身份验证的会话令牌的请求的访问。"
cwe532,在日志文件中包含敏感信息,中危,"写入日志文件的信息可能具有敏感性质，可为攻击者提供有价值的指导或公开敏感的用户信息。
虽然在开发阶段记录所有信息可能会有所帮助，但在产品发布之前正确设置日志记录级别非常重要，这样敏感的用户数据和系统信息就不会意外地暴露给潜在的攻击者。","1.在下面的代码段中，用户的全名和信用卡号将写入日志文件。（Java）
logger.info(""Username: "" + usernme + "", CCN: "" + ccn);

2.此代码存储有关当前用户的位置信息：（Java）
locationClient = new LocationClient(this, this, this);
locationClient.connect();
currentUser.setLocation(locationClient.getLastLocation());
...

catch (Exception e) {
AlertDialog.Builder builder = new AlertDialog.Builder(this);
builder.setMessage(""Sorry, this application has experienced an error."");
AlertDialog alert = builder.create();
alert.show();
Log.e(""ExampleActivity"", ""Caught exception: "" + e + "" While on User:"" + User.toString());
}
当应用程序遇到异常时，它会将用户对象写入日志。由于用户对象包含位置信息，因此用户的位置也会写入日志。","1.认真考虑写入日志文件的信息的敏感性。不要将机密写入日志文件。
2.在将应用程序部署到生产环境之前，请先删除调试日志文件。
3.保护日志文件免受未经授权的读/写。
4.在软件从调试状态过渡到生产状态时，适当调整配置。"
cwe770,不加限制或调节的资源分配,低危,软件代表执行组件分配可重用资源或资源组，而不会对可分配的资源的大小或数量施加任何限制，这违反了对该参与者的预期安全策略。,"此代码在每次收到新连接时分配一个套接字和分叉。（C语言）
sock=socket(AF_INET, SOCK_STREAM, 0);
while (1) {
newsock=accept(sock, ...);
printf(""A connection has been accepted\n"");
pid = fork();
}
该程序不跟踪已建立的连接数，也不限制连接数。由于分叉是一项相对昂贵的操作，因此攻击者可以通过建立大量连接来导致系统耗尽 CPU、进程或内存。或者，攻击者可以使用所有可用的连接，从而阻止其他人远程访问系统。
","1.明确指定对功能的最小和最大期望值，并指示当资源分配达到限制时哪些行为是可以接受的。
2.限制非特权用户可访问的资源量。为资源设置每用户限制。允许系统管理员定义这些限制。
3.将限制机制设计到系统体系结构中。最好的保护是限制未经授权的用户可能导致消耗的资源量。强大的身份验证和访问控制模型将有助于从一开始就防止此类攻击的发生，并且它将帮助管理员识别谁在实施滥用。应尽可能保护登录应用程序免受 DoS 攻击。限制数据库访问（可能通过缓存结果集）有助于最大限度地减少消耗的资源。为了进一步限制 DoS 攻击的可能性，请考虑跟踪从用户收到的请求速率，并阻止超过定义的速率阈值的请求。"
cwe327,使用被破解或有风险的加密算法,中危,使用损坏或有风险的加密算法会产生不必要的风险，可能导致敏感信息泄露。,"这些代码示例使用数据加密标准 （DES）。
有问题的C语言代码
EVP_des_ecb();

有问题的Java代码
Cipher des=Cipher.getInstance(""DES..."");
des.initEncrypt(key2);

有问题的PHP代码
function encryptPassword($password){
$iv_size = mcrypt_get_iv_size(MCRYPT_DES, MCRYPT_MODE_ECB);
$iv = mcrypt_create_iv($iv_size, MCRYPT_RAND);
$key = ""This is a password encryption key"";
$encryptedPassword = mcrypt_encrypt(MCRYPT_DES, $key, $password, MCRYPT_MODE_ECB, $iv);
return $encryptedPassword;
}
DES曾经被认为是一种强大的算法，现在被认为不足以满足许多应用的需求。它已被高级加密标准（AES）取代。",当需要存储或传输敏感数据时，使用强大的、最新的加密算法加密该数据。选择一个目前被该领域专家认为是强大的、经过仔细审查的算法，并使用经过充分测试的加密算法。
cwe90,LDAP注?,中危,LDAP 注?是利??户引?的参数?成恶意 LDAP 查询，通过构造 LDAP 过滤器来绕过访问控制、?户权限提升。在维持正常过滤器的情况下构造出 AND、OR 操作注?来获得敏感信息,"下面的代码使用用户输入地址数据构造 LDAP 查询：
context = new InitialDirContext(env);
String searchFilter = ""StreetAddress="" + address;
NamingEnumeration answer = context.search(searchBase, searchFilter, searchCtls);
由于代码无法中和用于构造查询的地址字符串，因此攻击者可以提供包含其他 LDAP 查询的地址。","1.如&、！、|、=、<、>、，、+、-、”、’、；这些字符正常情况下不会?到，如果?户的输?中出现了，需要?反斜杠转义处理。
2.还有些字符如(、)、\、*、/、NUL这些字符不仅需要?反斜杠处理，还要将字符变成相应的ASCII码值。
"
